ID,Classifier,Ranker,AttributesNum,Attributes,FPR_type1err,FNR_type2err,ROC_Area
20,NaiveBayes,SymmetricUncertainty,200,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X;GENE3945X;GENE2760X;GENE3754X;GENE3943X;GENE597X;GENE1125X;GENE3753X;GENE374X;GENE390X;GENE3258X;GENE639X;GENE2380X;GENE3176X;GENE3573X;GENE3946X;GENE1676X;GENE593X;GENE3898X;GENE1673X;GENE1741X;GENE1296X;GENE473X;GENE3968X;GENE635X;GENE378X;GENE472X;GENE520X;GENE379X;GENE3939X;GENE598X;GENE513X;GENE3642X;GENE567X;GENE568X;GENE2190X;GENE3588X;GENE1672X;GENE610X;GENE938X;GENE2758X;GENE1622X;GENE3932X;GENE2186X;GENE1656X;GENE3461X;GENE3574X;GENE2105X;GENE2759X;GENE514X;GENE1214X;GENE1612X;GENE3940X;GENE636X;GENE455X;GENE3641X;GENE512X;GENE655X;GENE500X;GENE2113X;GENE86X;GENE1080X;GENE946X;GENE2512X;GENE2238X;GENE717X;GENE737X;GENE1776X;GENE569X;GENE626X;GENE1617X;GENE3965X;GENE662X;GENE2460X;GENE3335X;GENE2550X;GENE555X;GENE377X;GENE1578X;GENE1690X;GENE558X;GENE1212X;GENE1618X;GENE2464X;GENE3259X;GENE1620X;GENE518X;GENE2106X;GENE585X;GENE187X;GENE1615X;GENE1696X;GENE3967X;GENE947X;GENE707X;GENE2668X;GENE940X;GENE2713X;GENE3934X;GENE527X;GENE962X;GENE1658X;GENE854X;GENE1126X;GENE735X;GENE652X;GENE2462X;GENE1659X;GENE1821X;GENE721X;GENE528X;GENE2239X;GENE723X;GENE1616X;GENE642X;GENE2107X;GENE734X;GENE386X;GENE2209X;GENE2936X;GENE1648X;GENE1581X;GENE556X;GENE2033X;GENE982X;GENE834X;GENE2513X;GENE1614X;GENE1647X;GENE1695X;GENE2104X;GENE3104X;GENE942X;GENE2595X;GENE3628X;GENE2483X;GENE2108X;GENE364X;GENE1702X;GENE373X;GENE3751X;GENE1573X;GENE1637X;GENE725X;GENE718X;GENE1732X;GENE2240X;GENE3605X;GENE1619X;GENE832X;GENE1613X;GENE1812X;GENE3752X;GENE2484X;GENE1516X;GENE712X;GENE1632X;GENE713X;GENE565X;GENE736X;GENE1130X;GENE1635X;GENE221X;GENE2181X;GENE362X;GENE711X;GENE1768X;GENE1813X;GENE2109X;GENE663X;GENE646X;GENE844X;GENE3757X;GENE923X;GENE1530X;GENE1207X;GENE2200X;GENE2757X;GENE2220X;GENE1636X;GENE1631X;GENE2103X;GENE2377X;GENE3626X;GENE1798X;GENE1131X;GENE550X;GENE1543X;GENE981X;GENE2740X;GENE2739X,0.181,0.13,0.918
102,5NN,InformationGain,5,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X,0.083,0.478,0.811
116,5NN,ChiSquared,9,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X,0.083,0.478,0.893
51,NaiveBayes,ChiSquared,5,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X,0.111,0.304,0.879
105,5NN,InformationGain,8,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X,0.111,0.522,0.806
115,5NN,ChiSquared,8,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X,0.069,0.478,0.867
10,NaiveBayes,GainRatio,200,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X;GENE854X;GENE1126X;GENE86X;GENE946X;GENE1609X;GENE2595X;GENE385X;GENE1537X;GENE940X;GENE3898X;GENE1080X;GENE384X;GENE493X;GENE520X;GENE3751X;GENE3752X;GENE3945X;GENE3586X;GENE3258X;GENE1666X;GENE2760X;GENE1676X;GENE3946X;GENE941X;GENE1490X;GENE597X;GENE374X;GENE1131X;GENE1798X;GENE1610X;GENE1618X;GENE639X;GENE3574X;GENE1964X;GENE3939X;GENE3573X;GENE3932X;GENE593X;GENE1776X;GENE2380X;GENE3461X;GENE1673X;GENE3943X;GENE1741X;GENE3968X;GENE1296X;GENE635X;GENE472X;GENE378X;GENE379X;GENE364X;GENE473X;GENE3940X;GENE3628X;GENE390X;GENE2190X;GENE567X;GENE568X;GENE610X;GENE1672X;GENE598X;GENE513X;GENE2105X;GENE1656X;GENE2186X;GENE2758X;GENE1622X;GENE1612X;GENE2759X;GENE636X;GENE455X;GENE1214X;GENE514X;GENE1658X;GENE512X;GENE500X;GENE2464X;GENE2740X;GENE2739X;GENE2113X;GENE717X;GENE2238X;GENE3642X;GENE1130X;GENE386X;GENE1617X;GENE2512X;GENE626X;GENE569X;GENE2550X;GENE3986X;GENE3590X;GENE555X;GENE3259X;GENE1578X;GENE1690X;GENE377X;GENE1212X;GENE737X;GENE3965X;GENE662X;GENE2460X;GENE2117X;GENE3335X;GENE2106X;GENE518X;GENE1659X;GENE1821X;GENE1630X;GENE2713X;GENE938X;GENE947X;GENE1616X;GENE707X;GENE558X;GENE2668X;GENE1620X;GENE585X;GENE528X;GENE3967X;GENE1696X;GENE187X;GENE982X;GENE1615X;GENE735X;GENE2220X;GENE1812X;GENE652X;GENE1813X;GENE3641X;GENE373X;GENE721X;GENE723X;GENE642X;GENE734X;GENE2107X;GENE655X;GENE3934X;GENE527X;GENE962X;GENE2239X;GENE942X;GENE2108X;GENE2483X;GENE1707X;GENE2209X;GENE2465X;GENE725X;GENE718X;GENE2240X;GENE3605X;GENE1732X;GENE1648X;GENE1647X;GENE1695X;GENE1614X;GENE1581X;GENE556X;GENE1757X;GENE1702X;GENE2104X;GENE1619X;GENE834X;GENE2513X;GENE565X;GENE713X;GENE736X;GENE3104X;GENE1128X;GENE1211X;GENE1604X;GENE1768X;GENE646X;GENE2109X;GENE844X;GENE663X;GENE3757X;GENE1530X;GENE923X;GENE1613X;GENE832X;GENE1637X;GENE1573X;GENE221X;GENE2484X;GENE1516X;GENE2033X;GENE3408X;GENE712X;GENE3985X;GENE2885X,0.181,0.087,0.93
119,5NN,ChiSquared,50,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X;GENE3258X;GENE3946X;GENE390X;GENE938X;GENE655X;GENE2760X;GENE1676X;GENE3641X;GENE3939X;GENE2462X;GENE3968X;GENE3932X;GENE2936X;GENE3461X;GENE3940X;GENE3574X;GENE1741X;GENE3642X;GENE3944X;GENE2033X;GENE2105X;GENE1672X;GENE1296X;GENE3755X;GENE3754X;GENE1612X;GENE520X;GENE2380X;GENE1673X;GENE3898X;GENE1617X;GENE2759X;GENE2550X;GENE473X;GENE1776X;GENE2464X;GENE3259X;GENE2758X;GENE598X;GENE2113X,0.028,0.304,0.922
41,NaiveBayes,InformationGain,5,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X,0.153,0.348,0.808
53,NaiveBayes,ChiSquared,7,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X,0.181,0.261,0.888
3,NaiveBayes,GainRatio,7,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X,0.194,0.435,0.821
103,5NN,InformationGain,6,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X,0.125,0.522,0.809
118,5NN,ChiSquared,20,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X;GENE3258X;GENE3946X;GENE390X;GENE938X;GENE655X;GENE2760X;GENE1676X;GENE3641X;GENE3939X;GENE2462X,0.028,0.478,0.87
106,5NN,InformationGain,9,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X,0.083,0.522,0.835
78,5NN,SymmetricUncertainty,20,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X;GENE3755X;GENE3945X;GENE2760X;GENE3754X;GENE3943X;GENE597X;GENE1125X;GENE3753X;GENE374X;GENE390X;GENE3258X,0.014,0.348,0.932
117,5NN,ChiSquared,10,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X,0.042,0.522,0.893
42,NaiveBayes,InformationGain,6,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X,0.139,0.391,0.833
71,5NN,GainRatio,200,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X;GENE854X;GENE1126X;GENE86X;GENE946X;GENE1609X;GENE2595X;GENE385X;GENE1537X;GENE940X;GENE3898X;GENE1080X;GENE384X;GENE493X;GENE520X;GENE3751X;GENE3752X;GENE3945X;GENE3586X;GENE3258X;GENE1666X;GENE2760X;GENE1676X;GENE3946X;GENE941X;GENE1490X;GENE597X;GENE374X;GENE1131X;GENE1798X;GENE1610X;GENE1618X;GENE639X;GENE3574X;GENE1964X;GENE3939X;GENE3573X;GENE3932X;GENE593X;GENE1776X;GENE2380X;GENE3461X;GENE1673X;GENE3943X;GENE1741X;GENE3968X;GENE1296X;GENE635X;GENE472X;GENE378X;GENE379X;GENE364X;GENE473X;GENE3940X;GENE3628X;GENE390X;GENE2190X;GENE567X;GENE568X;GENE610X;GENE1672X;GENE598X;GENE513X;GENE2105X;GENE1656X;GENE2186X;GENE2758X;GENE1622X;GENE1612X;GENE2759X;GENE636X;GENE455X;GENE1214X;GENE514X;GENE1658X;GENE512X;GENE500X;GENE2464X;GENE2740X;GENE2739X;GENE2113X;GENE717X;GENE2238X;GENE3642X;GENE1130X;GENE386X;GENE1617X;GENE2512X;GENE626X;GENE569X;GENE2550X;GENE3986X;GENE3590X;GENE555X;GENE3259X;GENE1578X;GENE1690X;GENE377X;GENE1212X;GENE737X;GENE3965X;GENE662X;GENE2460X;GENE2117X;GENE3335X;GENE2106X;GENE518X;GENE1659X;GENE1821X;GENE1630X;GENE2713X;GENE938X;GENE947X;GENE1616X;GENE707X;GENE558X;GENE2668X;GENE1620X;GENE585X;GENE528X;GENE3967X;GENE1696X;GENE187X;GENE982X;GENE1615X;GENE735X;GENE2220X;GENE1812X;GENE652X;GENE1813X;GENE3641X;GENE373X;GENE721X;GENE723X;GENE642X;GENE734X;GENE2107X;GENE655X;GENE3934X;GENE527X;GENE962X;GENE2239X;GENE942X;GENE2108X;GENE2483X;GENE1707X;GENE2209X;GENE2465X;GENE725X;GENE718X;GENE2240X;GENE3605X;GENE1732X;GENE1648X;GENE1647X;GENE1695X;GENE1614X;GENE1581X;GENE556X;GENE1757X;GENE1702X;GENE2104X;GENE1619X;GENE834X;GENE2513X;GENE565X;GENE713X;GENE736X;GENE3104X;GENE1128X;GENE1211X;GENE1604X;GENE1768X;GENE646X;GENE2109X;GENE844X;GENE663X;GENE3757X;GENE1530X;GENE923X;GENE1613X;GENE832X;GENE1637X;GENE1573X;GENE221X;GENE2484X;GENE1516X;GENE2033X;GENE3408X;GENE712X;GENE3985X;GENE2885X,0.069,0.261,0.894
60,NaiveBayes,ChiSquared,200,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X;GENE3258X;GENE3946X;GENE390X;GENE938X;GENE655X;GENE2760X;GENE1676X;GENE3641X;GENE3939X;GENE2462X;GENE3968X;GENE3932X;GENE2936X;GENE3461X;GENE3940X;GENE3574X;GENE1741X;GENE3642X;GENE3944X;GENE2033X;GENE2105X;GENE1672X;GENE1296X;GENE3755X;GENE3754X;GENE1612X;GENE520X;GENE2380X;GENE1673X;GENE3898X;GENE1617X;GENE2759X;GENE2550X;GENE473X;GENE1776X;GENE2464X;GENE3259X;GENE2758X;GENE598X;GENE2113X;GENE513X;GENE2713X;GENE597X;GENE374X;GENE1620X;GENE1658X;GENE2512X;GENE1659X;GENE1821X;GENE1622X;GENE528X;GENE1616X;GENE1618X;GENE386X;GENE1696X;GENE3967X;GENE982X;GENE3753X;GENE1125X;GENE514X;GENE1214X;GENE2460X;GENE662X;GENE639X;GENE373X;GENE187X;GENE3176X;GENE512X;GENE1812X;GENE500X;GENE1695X;GENE1647X;GENE1614X;GENE3573X;GENE1619X;GENE1648X;GENE1768X;GENE556X;GENE1613X;GENE832X;GENE221X;GENE3934X;GENE1813X;GENE1080X;GENE3628X;GENE593X;GENE981X;GENE364X;GENE1573X;GENE1637X;GENE2220X;GENE737X;GENE3626X;GENE3965X;GENE1130X;GENE3408X;GENE1207X;GENE3335X;GENE558X;GENE1632X;GENE1635X;GENE1740X;GENE834X;GENE2513X;GENE472X;GENE635X;GENE378X;GENE606X;GENE379X;GENE2757X;GENE529X;GENE1875X;GENE1615X;GENE1707X;GENE1631X;GENE1636X;GENE446X;GENE3979X;GENE2739X;GENE2740X;GENE1581X;GENE1757X;GENE567X;GENE568X;GENE2190X;GENE2148X;GENE527X;GENE962X;GENE2377X;GENE1769X;GENE3257X;GENE2558X;GENE610X;GENE3590X;GENE3156X;GENE3104X;GENE3860X;GENE3447X;GENE362X;GENE1733X;GENE3955X;GENE2186X;GENE1656X;GENE3588X;GENE1518X;GENE471X;GENE2154X;GENE1516X;GENE1887X;GENE550X;GENE1543X;GENE2209X;GENE86X;GENE1582X;GENE1644X;GENE392X;GENE1711X;GENE2104X;GENE395X;GENE1590X;GENE1588X;GENE946X;GENE585X;GENE455X;GENE636X;GENE2226X;GENE2375X;GENE2181X;GENE2871X;GENE1585X;GENE637X;GENE3986X;GENE1605X;GENE1630X;GENE1226X;GENE1544X;GENE2465X;GENE3958X;GENE3751X;GENE3924X;GENE1964X;GENE1131X;GENE1798X;GENE2484X;GENE1489X;GENE3933X;GENE1742X;GENE712X;GENE1684X;GENE3752X,0.181,0.13,0.928
73,5NN,SymmetricUncertainty,6,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X,0.069,0.435,0.846
109,5NN,InformationGain,50,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X;GENE3945X;GENE938X;GENE597X;GENE385X;GENE374X;GENE3941X;GENE655X;GENE639X;GENE3641X;GENE3642X;GENE3573X;GENE1673X;GENE593X;GENE1741X;GENE473X;GENE1296X;GENE3968X;GENE635X;GENE472X;GENE378X;GENE598X;GENE379X;GENE513X;GENE1567X;GENE3258X;GENE567X;GENE2190X;GENE568X;GENE1622X;GENE2758X;GENE1672X;GENE610X;GENE3946X;GENE2759X;GENE514X;GENE1214X;GENE2186X;GENE1656X;GENE512X;GENE1612X;GENE500X,0.111,0.261,0.88
58,NaiveBayes,ChiSquared,50,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X;GENE3258X;GENE3946X;GENE390X;GENE938X;GENE655X;GENE2760X;GENE1676X;GENE3641X;GENE3939X;GENE2462X;GENE3968X;GENE3932X;GENE2936X;GENE3461X;GENE3940X;GENE3574X;GENE1741X;GENE3642X;GENE3944X;GENE2033X;GENE2105X;GENE1672X;GENE1296X;GENE3755X;GENE3754X;GENE1612X;GENE520X;GENE2380X;GENE1673X;GENE3898X;GENE1617X;GENE2759X;GENE2550X;GENE473X;GENE1776X;GENE2464X;GENE3259X;GENE2758X;GENE598X;GENE2113X,0.139,0.087,0.937
68,5NN,GainRatio,20,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X;GENE854X;GENE1126X;GENE86X;GENE946X;GENE1609X;GENE2595X;GENE385X;GENE1537X;GENE940X;GENE3898X;GENE1080X,0.0,0.478,0.873
110,5NN,InformationGain,100,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X;GENE3945X;GENE938X;GENE597X;GENE385X;GENE374X;GENE3941X;GENE655X;GENE639X;GENE3641X;GENE3642X;GENE3573X;GENE1673X;GENE593X;GENE1741X;GENE473X;GENE1296X;GENE3968X;GENE635X;GENE472X;GENE378X;GENE598X;GENE379X;GENE513X;GENE1567X;GENE3258X;GENE567X;GENE2190X;GENE568X;GENE1622X;GENE2758X;GENE1672X;GENE610X;GENE3946X;GENE2759X;GENE514X;GENE1214X;GENE2186X;GENE1656X;GENE512X;GENE1612X;GENE500X;GENE2105X;GENE2462X;GENE2113X;GENE636X;GENE455X;GENE1676X;GENE2936X;GENE3939X;GENE2512X;GENE737X;GENE2238X;GENE717X;GENE3940X;GENE662X;GENE2460X;GENE3965X;GENE3335X;GENE3461X;GENE3932X;GENE558X;GENE569X;GENE626X;GENE555X;GENE187X;GENE2550X;GENE1615X;GENE377X;GENE1578X;GENE1690X;GENE1617X;GENE1696X;GENE3967X;GENE3944X;GENE585X;GENE1620X;GENE3934X;GENE2033X;GENE1212X;GENE962X;GENE527X;GENE518X;GENE2106X;GENE3574X;GENE947X;GENE707X;GENE2668X;GENE3259X;GENE3755X;GENE1581X;GENE2209X,0.097,0.13,0.929
64,5NN,GainRatio,7,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X,0.028,0.739,0.784
104,5NN,InformationGain,7,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X,0.111,0.391,0.836
113,5NN,ChiSquared,6,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X,0.097,0.522,0.839
76,5NN,SymmetricUncertainty,9,GENE3941X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE1567X;GENE384X;GENE1610X;GENE3944X,0.042,0.435,0.883
121,5NN,ChiSquared,200,GENE1610X;GENE1609X;GENE1537X;GENE385X;GENE493X;GENE384X;GENE3941X;GENE3945X;GENE1567X;GENE3943X;GENE3258X;GENE3946X;GENE390X;GENE938X;GENE655X;GENE2760X;GENE1676X;GENE3641X;GENE3939X;GENE2462X;GENE3968X;GENE3932X;GENE2936X;GENE3461X;GENE3940X;GENE3574X;GENE1741X;GENE3642X;GENE3944X;GENE2033X;GENE2105X;GENE1672X;GENE1296X;GENE3755X;GENE3754X;GENE1612X;GENE520X;GENE2380X;GENE1673X;GENE3898X;GENE1617X;GENE2759X;GENE2550X;GENE473X;GENE1776X;GENE2464X;GENE3259X;GENE2758X;GENE598X;GENE2113X;GENE513X;GENE2713X;GENE597X;GENE374X;GENE1620X;GENE1658X;GENE2512X;GENE1659X;GENE1821X;GENE1622X;GENE528X;GENE1616X;GENE1618X;GENE386X;GENE1696X;GENE3967X;GENE982X;GENE3753X;GENE1125X;GENE514X;GENE1214X;GENE2460X;GENE662X;GENE639X;GENE373X;GENE187X;GENE3176X;GENE512X;GENE1812X;GENE500X;GENE1695X;GENE1647X;GENE1614X;GENE3573X;GENE1619X;GENE1648X;GENE1768X;GENE556X;GENE1613X;GENE832X;GENE221X;GENE3934X;GENE1813X;GENE1080X;GENE3628X;GENE593X;GENE981X;GENE364X;GENE1573X;GENE1637X;GENE2220X;GENE737X;GENE3626X;GENE3965X;GENE1130X;GENE3408X;GENE1207X;GENE3335X;GENE558X;GENE1632X;GENE1635X;GENE1740X;GENE834X;GENE2513X;GENE472X;GENE635X;GENE378X;GENE606X;GENE379X;GENE2757X;GENE529X;GENE1875X;GENE1615X;GENE1707X;GENE1631X;GENE1636X;GENE446X;GENE3979X;GENE2739X;GENE2740X;GENE1581X;GENE1757X;GENE567X;GENE568X;GENE2190X;GENE2148X;GENE527X;GENE962X;GENE2377X;GENE1769X;GENE3257X;GENE2558X;GENE610X;GENE3590X;GENE3156X;GENE3104X;GENE3860X;GENE3447X;GENE362X;GENE1733X;GENE3955X;GENE2186X;GENE1656X;GENE3588X;GENE1518X;GENE471X;GENE2154X;GENE1516X;GENE1887X;GENE550X;GENE1543X;GENE2209X;GENE86X;GENE1582X;GENE1644X;GENE392X;GENE1711X;GENE2104X;GENE395X;GENE1590X;GENE1588X;GENE946X;GENE585X;GENE455X;GENE636X;GENE2226X;GENE2375X;GENE2181X;GENE2871X;GENE1585X;GENE637X;GENE3986X;GENE1605X;GENE1630X;GENE1226X;GENE1544X;GENE2465X;GENE3958X;GENE3751X;GENE3924X;GENE1964X;GENE1131X;GENE1798X;GENE2484X;GENE1489X;GENE3933X;GENE1742X;GENE712X;GENE1684X;GENE3752X,0.069,0.217,0.907
108,5NN,InformationGain,20,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X;GENE3945X;GENE938X;GENE597X;GENE385X;GENE374X;GENE3941X;GENE655X;GENE639X;GENE3641X;GENE3642X;GENE3573X,0.069,0.435,0.882
69,5NN,GainRatio,50,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X;GENE3176X;GENE3588X;GENE1567X;GENE854X;GENE1126X;GENE86X;GENE946X;GENE1609X;GENE2595X;GENE385X;GENE1537X;GENE940X;GENE3898X;GENE1080X;GENE384X;GENE493X;GENE520X;GENE3751X;GENE3752X;GENE3945X;GENE3586X;GENE3258X;GENE1666X;GENE2760X;GENE1676X;GENE3946X;GENE941X;GENE1490X;GENE597X;GENE374X;GENE1131X;GENE1798X;GENE1610X;GENE1618X;GENE639X;GENE3574X;GENE1964X;GENE3939X;GENE3573X;GENE3932X;GENE593X;GENE1776X;GENE2380X;GENE3461X,0.042,0.391,0.892
111,5NN,InformationGain,200,GENE1610X;GENE3943X;GENE493X;GENE390X;GENE1537X;GENE1609X;GENE384X;GENE2760X;GENE2380X;GENE3945X;GENE938X;GENE597X;GENE385X;GENE374X;GENE3941X;GENE655X;GENE639X;GENE3641X;GENE3642X;GENE3573X;GENE1673X;GENE593X;GENE1741X;GENE473X;GENE1296X;GENE3968X;GENE635X;GENE472X;GENE378X;GENE598X;GENE379X;GENE513X;GENE1567X;GENE3258X;GENE567X;GENE2190X;GENE568X;GENE1622X;GENE2758X;GENE1672X;GENE610X;GENE3946X;GENE2759X;GENE514X;GENE1214X;GENE2186X;GENE1656X;GENE512X;GENE1612X;GENE500X;GENE2105X;GENE2462X;GENE2113X;GENE636X;GENE455X;GENE1676X;GENE2936X;GENE3939X;GENE2512X;GENE737X;GENE2238X;GENE717X;GENE3940X;GENE662X;GENE2460X;GENE3965X;GENE3335X;GENE3461X;GENE3932X;GENE558X;GENE569X;GENE626X;GENE555X;GENE187X;GENE2550X;GENE1615X;GENE377X;GENE1578X;GENE1690X;GENE1617X;GENE1696X;GENE3967X;GENE3944X;GENE585X;GENE1620X;GENE3934X;GENE2033X;GENE1212X;GENE962X;GENE527X;GENE518X;GENE2106X;GENE3574X;GENE947X;GENE707X;GENE2668X;GENE3259X;GENE3755X;GENE1581X;GENE2209X;GENE1648X;GENE2239X;GENE556X;GENE606X;GENE2513X;GENE834X;GENE2713X;GENE3104X;GENE2104X;GENE735X;GENE652X;GENE3754X;GENE2464X;GENE721X;GENE1647X;GENE1695X;GENE1614X;GENE723X;GENE1573X;GENE1637X;GENE2107X;GENE734X;GENE642X;GENE1702X;GENE1516X;GENE528X;GENE2484X;GENE1613X;GENE832X;GENE1632X;GENE712X;GENE1635X;GENE362X;GENE942X;GENE2181X;GENE2108X;GENE2483X;GENE1619X;GENE1821X;GENE1659X;GENE711X;GENE1616X;GENE725X;GENE3605X;GENE718X;GENE2240X;GENE1732X;GENE2757X;GENE2377X;GENE1636X;GENE1631X;GENE520X;GENE1207X;GENE550X;GENE1776X;GENE1543X;GENE221X;GENE982X;GENE1582X;GENE3955X;GENE3898X;GENE373X;GENE2200X;GENE1875X;GENE1633X;GENE2103X;GENE713X;GENE565X;GENE736X;GENE637X;GENE1658X;GENE3626X;GENE1223X;GENE1605X;GENE1768X;GENE3753X;GENE1125X;GENE1733X;GENE646X;GENE3757X;GENE844X;GENE2109X;GENE663X;GENE923X;GENE1530X;GENE3400X;GENE386X;GENE3860X;GENE981X;GENE1812X;GENE738X;GENE2558X;GENE529X;GENE3334X;GENE3176X;GENE516X;GENE720X;GENE1628X;GENE656X;GENE611X,0.097,0.174,0.918
63,5NN,GainRatio,6,GENE3941X;GENE3944X;GENE3755X;GENE1125X;GENE3753X;GENE3754X,0.014,0.739,0.755
